fecha,beneficio [€],energia_vendida [MWh],energia_comprada [MWh],energia_cargada [MWh],energia_descargada [MWh],reserva_up [MWh],reserva_down [MWh],activacion_up [MWh],activacion_down [MWh],precio_medio [€/MWh],precio_max [€/MWh],precio_min [€/MWh],spread [€/MWh]
2025-04-01,604.19,5.789,7.149,6.977,2.634,13.392,0.773,3.155,0.172,58.6,165.29,-0.07,165.37
2025-04-02,634.84,4.807,5.936,5.704,0.982,16.234,1.046,3.825,0.233,27.99,107.38,-0.02,107.4
2025-04-03,643.41,4.688,5.789,5.658,0.662,17.088,0.592,4.026,0.132,22.1,81.5,0.0,81.5
2025-04-04,656.1,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,11.24,51.52,-0.02,51.54
2025-04-05,624.91,4.302,5.313,5.117,0.08,17.92,0.883,4.222,0.196,24.42,99.98,-1.27,101.25
2025-04-06,613.57,4.241,5.238,5.02,0.0,18.0,0.98,4.241,0.218,26.56,82.0,-1.59,83.59
2025-04-07,680.47,6.024,7.439,7.363,3.237,11.829,0.343,2.787,0.076,56.14,187.1,0.0,187.1
2025-04-08,604.57,5.549,6.852,6.738,2.106,14.61,0.512,3.442,0.114,47.67,133.2,-1.09,134.28
2025-04-09,613.05,4.925,6.082,5.962,1.049,16.451,0.538,3.876,0.12,31.98,100.03,-0.5,100.54
2025-04-10,626.87,4.241,5.238,5.02,0.0,18.0,0.98,4.241,0.218,19.2,52.0,-0.01,52.01
2025-04-11,631.11,4.241,5.238,5.02,0.0,18.0,0.98,4.241,0.218,18.35,59.59,-0.01,59.6
2025-04-12,590.81,4.241,5.238,5.02,0.0,18.0,0.98,4.241,0.218,27.01,81.05,0.01,81.04
2025-04-13,632.61,4.241,5.238,5.02,0.0,18.0,0.98,4.241,0.218,18.34,64.84,-1.55,66.39
2025-04-14,600.79,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,24.54,76.87,0.0,76.87
2025-04-15,653.99,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,11.73,35.62,-0.01,35.63
2025-04-16,650.62,4.302,5.313,5.117,0.08,17.92,0.883,4.222,0.196,12.14,71.28,-0.01,71.29
2025-04-17,632.97,4.491,5.546,5.488,0.25,18.0,0.262,4.241,0.058,21.94,108.91,0.0,108.91
2025-04-18,636.61,4.241,5.238,5.02,0.0,18.0,0.98,4.241,0.218,12.35,37.05,-1.61,38.66
2025-04-19,661.71,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,1.72,8.29,-4.15,12.44
2025-04-20,660.55,4.381,5.411,5.314,0.106,18.144,0.436,4.275,0.097,10.71,87.2,-5.07,92.27
2025-04-21,572.65,4.865,6.007,5.876,1.0,16.403,0.592,3.865,0.132,49.09,162.23,6.35,155.88
2025-04-22,495.48,5.323,6.573,6.451,1.764,15.105,0.549,3.559,0.122,64.39,131.48,4.19,127.3
2025-04-23,563.79,4.353,5.376,5.269,0.08,18.136,0.481,4.273,0.107,44.23,118.54,0.0,118.54
2025-04-24,580.17,4.302,5.313,5.188,0.059,18.01,0.562,4.243,0.125,43.53,118.97,-0.01,118.98
2025-04-25,575.01,5.288,6.531,6.468,1.602,15.648,0.282,3.687,0.063,45.66,119.43,-0.21,119.65
2025-04-26,657.98,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,5.54,23.44,-3.11,26.55
2025-04-27,666.89,4.898,6.049,5.991,0.936,16.813,0.259,3.961,0.058,10.98,102.06,-6.2,108.26
2025-04-28,637.78,4.361,5.386,5.282,0.08,18.17,0.468,4.281,0.104,18.5,81.86,-3.02,84.88
2025-04-29,659.89,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,5.79,36.25,-1.95,38.2
2025-04-30,682.2,5.629,6.951,6.866,2.202,14.548,0.384,3.428,0.085,31.83,122.33,-0.18,122.5
