fecha,beneficio_previsto [€],ben_medio [€],ben_std [€],ben_P10 [€],ben_P50 [€],ben_P90 [€],P5 [€],pct_negativo [%],desv_media [€],desv_media [%],penalizacion_soc_media [€],energia_recortada_media [MWh],soc_final_desv_media [MWh],soc_critico_medio,pujas_perdidas_media,fallos_tecnicos_media,n_sim_normal
2025-11-01,284.2,241.55,118.79,132.51,229.02,398.34,106.64,3.0,-42.65,-15.0,16.18,0.3068,-0.1415,6.2,4.9,1.9,200
2025-11-02,317.87,279.28,106.66,161.09,258.91,405.91,148.15,0.0,-38.59,-12.1,14.66,0.3034,-0.152,6.5,5.1,1.9,200
2025-11-03,257.67,250.29,75.67,171.79,238.21,343.76,163.15,0.0,-7.38,-2.9,14.72,0.3855,-0.0567,7.1,4.6,1.9,200
2025-11-04,282.12,239.52,108.12,125.7,228.54,365.83,97.67,1.5,-42.6,-15.1,18.71,0.3294,-0.1417,7.2,4.8,1.8,200
2025-11-05,303.55,243.24,138.06,116.82,234.57,402.33,93.27,2.0,-60.31,-19.9,10.49,0.2715,-0.1054,5.9,4.8,1.9,200
2025-11-06,318.55,258.89,107.4,155.9,248.27,390.26,123.5,1.0,-59.66,-18.7,12.22,0.3301,-0.0941,6.7,4.9,1.9,200
2025-11-07,214.1,181.12,123.16,81.46,164.63,303.88,56.52,2.0,-32.98,-15.4,27.28,0.3846,-0.1237,7.0,4.9,1.8,200
2025-11-08,303.21,254.48,149.31,170.22,244.84,381.06,151.56,1.0,-48.73,-16.1,14.74,0.2904,-0.1197,6.6,5.0,2.0,200
2025-11-09,282.52,244.76,104.82,150.23,228.22,363.99,126.7,0.5,-37.76,-13.4,19.69,0.2863,-0.1167,6.0,4.6,2.0,200
2025-11-10,224.42,210.72,71.76,136.17,199.58,306.07,118.22,0.0,-13.7,-6.1,17.36,0.3126,-0.0406,6.3,4.8,2.0,200
2025-11-11,254.26,232.66,95.23,139.84,204.68,367.74,123.38,0.0,-21.6,-8.5,23.62,0.2966,-0.13,6.7,4.8,1.9,200
2025-11-12,312.15,264.73,124.31,149.24,251.78,385.94,92.87,1.0,-47.42,-15.2,10.45,0.2868,-0.1191,6.2,5.0,1.8,200
2025-11-13,276.18,200.87,139.71,101.94,197.09,344.13,76.24,4.0,-75.31,-27.3,11.78,0.3104,0.0442,6.1,4.6,2.0,200
2025-11-14,291.97,230.19,136.43,129.06,230.17,377.65,44.84,3.5,-61.78,-21.2,11.32,0.3378,-0.0992,5.9,4.7,1.9,200
2025-11-15,271.18,215.79,172.56,116.18,216.8,358.1,71.87,4.0,-55.39,-20.4,12.31,0.3043,-0.0987,5.4,4.8,2.0,200
2025-11-16,305.57,253.67,128.15,139.66,245.95,402.84,70.16,2.5,-51.89,-17.0,11.93,0.283,-0.0621,6.0,4.7,2.0,200
2025-11-17,211.9,178.14,106.92,79.19,155.82,309.12,57.5,0.5,-33.76,-15.9,28.46,0.2945,-0.0861,5.7,5.0,2.1,200
2025-11-18,244.22,229.51,97.68,145.05,217.67,353.53,125.78,1.0,-14.71,-6.0,18.99,0.3139,-0.0478,6.1,4.9,2.0,200
2025-11-19,124.85,92.59,94.5,0.75,71.63,220.5,-12.77,9.5,-32.26,-25.8,38.82,0.3983,-0.1544,8.2,4.8,1.8,200
2025-11-20,188.46,175.35,108.26,80.67,148.66,319.18,61.45,1.5,-13.11,-7.0,27.17,0.4509,-0.1149,8.0,4.7,1.8,200
2025-11-21,304.33,283.04,99.46,187.29,258.32,422.06,165.59,0.5,-21.29,-7.0,14.75,0.3659,-0.0605,7.1,4.7,2.0,200
2025-11-22,278.11,258.74,103.12,149.03,248.95,380.89,133.34,0.5,-19.38,-7.0,19.12,0.2977,-0.0665,6.3,4.9,1.9,200
2025-11-23,298.96,249.22,189.64,117.72,245.43,420.08,52.12,4.0,-49.74,-16.6,13.88,0.3587,-0.0988,6.9,4.8,1.8,200
2025-11-24,280.69,254.88,137.54,151.52,229.11,418.99,118.35,2.0,-25.81,-9.2,17.11,0.3465,-0.1295,6.5,4.8,1.9,200
2025-11-25,308.23,270.09,126.66,174.76,260.75,379.49,161.32,0.5,-38.14,-12.4,17.29,0.3239,-0.116,6.8,4.8,1.7,200
2025-11-26,276.72,237.31,89.92,160.8,227.29,335.75,144.28,2.0,-39.41,-14.2,18.85,0.3138,-0.0602,6.6,4.7,2.1,200
2025-11-27,199.94,182.21,80.8,114.76,164.0,299.43,85.7,0.0,-17.73,-8.9,18.24,0.3779,-0.0575,7.5,4.8,1.8,200
2025-11-28,136.82,114.04,94.16,23.91,99.13,210.65,8.11,4.0,-22.78,-16.7,31.0,0.3453,-0.1493,6.6,4.6,1.8,200
2025-11-29,173.33,133.7,115.62,37.79,121.26,262.33,5.86,4.5,-39.63,-22.9,32.57,0.3384,-0.1115,7.5,4.8,1.9,200
2025-11-30,183.13,150.78,128.12,26.92,133.0,280.04,4.34,4.5,-32.35,-17.7,26.33,0.2791,-0.0815,6.1,4.6,1.8,200
